==============================================
BraTS 2D Federated Learning
Job ID:       22517908
Node(s):      gpu-q-2
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.1)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 10
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Wed Feb 11 11:18:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:01:00.0 Off |                    0 |
| N/A   37C    P0             68W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.1) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   10
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.1
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.2941, epochs=10
    Client 1: loss=1.2841, epochs=10
    Client 2: loss=1.3244, epochs=10
    Client 0: loss=1.3079, epochs=10
    Client 4: loss=1.2944, epochs=10
    Client 7: loss=1.4395, epochs=10
    Client 3: loss=1.2043, epochs=10
    Client 6: loss=1.3928, epochs=10
  Round   1/50: Pooled Loss=1.1095, Pooled Mean=0.4022 (WT=0.7582 TC=0.0006 ET=0.4479) | C0 Mean=0.4175 | C1 Mean=0.2008 | C2 Mean=0.2360 | C3 Mean=0.3271 | C4 Mean=0.2632 | C5 Mean=0.1743 | C6 Mean=0.4230 | C7 Mean=0.0594 WorstC Mean=0.0594 [58.7s]
    Client 1: loss=1.0168, epochs=10
    Client 2: loss=0.9433, epochs=10
    Client 5: loss=1.0101, epochs=10
    Client 6: loss=0.9330, epochs=10
    Client 4: loss=0.9650, epochs=10
    Client 0: loss=0.9100, epochs=10
    Client 3: loss=0.8114, epochs=10
    Client 7: loss=1.1121, epochs=10
  Round   2/50: Pooled Loss=0.7781, Pooled Mean=0.6544 (WT=0.8139 TC=0.6395 ET=0.5099) | C0 Mean=0.7239 | C1 Mean=0.3358 | C2 Mean=0.3359 | C3 Mean=0.6541 | C4 Mean=0.4397 | C5 Mean=0.3022 | C6 Mean=0.6805 | C7 Mean=0.1042 WorstC Mean=0.1042 [56.2s]
    Client 0: loss=0.6044, epochs=10
    Client 4: loss=0.7347, epochs=10
    Client 1: loss=0.8092, epochs=10
    Client 5: loss=0.8591, epochs=10
    Client 2: loss=0.6417, epochs=10
    Client 7: loss=0.9734, epochs=10
    Client 3: loss=0.5300, epochs=10
    Client 6: loss=0.6168, epochs=10
  Round   3/50: Pooled Loss=0.5718, Pooled Mean=0.6537 (WT=0.8225 TC=0.6407 ET=0.4978) | C0 Mean=0.6697 | C1 Mean=0.4001 | C2 Mean=0.4373 | C3 Mean=0.6702 | C4 Mean=0.4701 | C5 Mean=0.3237 | C6 Mean=0.6306 | C7 Mean=0.1358 WorstC Mean=0.1358 [56.8s]
    Client 3: loss=0.3708, epochs=10
    Client 1: loss=0.6456, epochs=10
    Client 2: loss=0.4408, epochs=10
    Client 6: loss=0.4350, epochs=10
    Client 7: loss=0.9035, epochs=10
    Client 5: loss=0.7474, epochs=10
    Client 0: loss=0.4103, epochs=10
    Client 4: loss=0.5548, epochs=10
  Round   4/50: Pooled Loss=0.4814, Pooled Mean=0.7039 (WT=0.8226 TC=0.6489 ET=0.6400) | C0 Mean=0.6835 | C1 Mean=0.5313 | C2 Mean=0.5477 | C3 Mean=0.7076 | C4 Mean=0.5203 | C5 Mean=0.3554 | C6 Mean=0.7492 | C7 Mean=0.1570 WorstC Mean=0.1570 [56.0s]
    Client 3: loss=0.2885, epochs=10
    Client 6: loss=0.3329, epochs=10
    Client 2: loss=0.3346, epochs=10
    Client 4: loss=0.4464, epochs=10
    Client 1: loss=0.5322, epochs=10
    Client 5: loss=0.6626, epochs=10
    Client 7: loss=0.8571, epochs=10
    Client 0: loss=0.3079, epochs=10
  Round   5/50: Pooled Loss=0.4623, Pooled Mean=0.6966 (WT=0.8153 TC=0.6016 ET=0.6730) | C0 Mean=0.6674 | C1 Mean=0.6488 | C2 Mean=0.5995 | C3 Mean=0.6925 | C4 Mean=0.6031 | C5 Mean=0.4020 | C6 Mean=0.7144 | C7 Mean=0.1612 WorstC Mean=0.1612 [55.9s]
    Client 0: loss=0.2456, epochs=10
    Client 2: loss=0.2673, epochs=10
    Client 1: loss=0.4587, epochs=10
    Client 7: loss=0.8191, epochs=10
    Client 4: loss=0.3717, epochs=10
    Client 3: loss=0.2422, epochs=10
    Client 6: loss=0.2808, epochs=10
    Client 5: loss=0.6181, epochs=10
  Round   6/50: Pooled Loss=0.4551, Pooled Mean=0.6873 (WT=0.7956 TC=0.6046 ET=0.6617) | C0 Mean=0.6507 | C1 Mean=0.6730 | C2 Mean=0.6353 | C3 Mean=0.6536 | C4 Mean=0.6275 | C5 Mean=0.4129 | C6 Mean=0.6720 | C7 Mean=0.2218 WorstC Mean=0.2218 [56.0s]
    Client 5: loss=0.5805, epochs=10
    Client 7: loss=0.7898, epochs=10
    Client 1: loss=0.3994, epochs=10
    Client 0: loss=0.2064, epochs=10
    Client 2: loss=0.2419, epochs=10
    Client 3: loss=0.2080, epochs=10
    Client 6: loss=0.2374, epochs=10
    Client 4: loss=0.3160, epochs=10
  Round   7/50: Pooled Loss=0.4161, Pooled Mean=0.7204 (WT=0.8076 TC=0.6484 ET=0.7051) | C0 Mean=0.6939 | C1 Mean=0.6875 | C2 Mean=0.6630 | C3 Mean=0.6653 | C4 Mean=0.6668 | C5 Mean=0.4340 | C6 Mean=0.6989 | C7 Mean=0.2339 WorstC Mean=0.2339 [55.9s]
    Client 4: loss=0.2769, epochs=10
    Client 0: loss=0.1737, epochs=10
    Client 3: loss=0.1802, epochs=10
    Client 2: loss=0.2031, epochs=10
    Client 6: loss=0.2052, epochs=10
    Client 1: loss=0.3575, epochs=10
    Client 5: loss=0.5448, epochs=10
    Client 7: loss=0.7729, epochs=10
  Round   8/50: Pooled Loss=0.3705, Pooled Mean=0.7606 (WT=0.8349 TC=0.6944 ET=0.7527) | C0 Mean=0.7528 | C1 Mean=0.7154 | C2 Mean=0.6284 | C3 Mean=0.7005 | C4 Mean=0.7026 | C5 Mean=0.4400 | C6 Mean=0.7420 | C7 Mean=0.2721 WorstC Mean=0.2721 [55.9s]
    Client 3: loss=0.1635, epochs=10
    Client 2: loss=0.1832, epochs=10
    Client 7: loss=0.7696, epochs=10
    Client 0: loss=0.1535, epochs=10
    Client 6: loss=0.1815, epochs=10
    Client 4: loss=0.2530, epochs=10
    Client 5: loss=0.5024, epochs=10
    Client 1: loss=0.3242, epochs=10
  Round   9/50: Pooled Loss=0.3557, Pooled Mean=0.7713 (WT=0.8436 TC=0.7160 ET=0.7542) | C0 Mean=0.7474 | C1 Mean=0.7312 | C2 Mean=0.6493 | C3 Mean=0.7192 | C4 Mean=0.7405 | C5 Mean=0.4498 | C6 Mean=0.7341 | C7 Mean=0.2960 WorstC Mean=0.2960 [56.1s]
    Client 4: loss=0.2314, epochs=10
    Client 7: loss=0.7496, epochs=10
    Client 6: loss=0.1655, epochs=10
    Client 5: loss=0.4555, epochs=10
    Client 1: loss=0.2871, epochs=10
    Client 3: loss=0.1491, epochs=10
    Client 2: loss=0.1748, epochs=10
    Client 0: loss=0.1413, epochs=10
  Round  10/50: Pooled Loss=0.3326, Pooled Mean=0.7906 (WT=0.8493 TC=0.7433 ET=0.7792) | C0 Mean=0.8062 | C1 Mean=0.7603 | C2 Mean=0.6364 | C3 Mean=0.7466 | C4 Mean=0.7702 | C5 Mean=0.4598 | C6 Mean=0.7944 | C7 Mean=0.3560 WorstC Mean=0.3560 [56.0s]
    Client 4: loss=0.2135, epochs=10
    Client 1: loss=0.2655, epochs=10
    Client 3: loss=0.1380, epochs=10
    Client 6: loss=0.1532, epochs=10
    Client 5: loss=0.4204, epochs=10
    Client 0: loss=0.1325, epochs=10
    Client 2: loss=0.1604, epochs=10
    Client 7: loss=0.7798, epochs=10
  Round  11/50: Pooled Loss=0.3194, Pooled Mean=0.8023 (WT=0.8610 TC=0.7587 ET=0.7873) | C0 Mean=0.8272 | C1 Mean=0.7734 | C2 Mean=0.6529 | C3 Mean=0.7547 | C4 Mean=0.7862 | C5 Mean=0.4607 | C6 Mean=0.8190 | C7 Mean=0.4041 WorstC Mean=0.4041 [55.7s]
    Client 2: loss=0.1521, epochs=10
    Client 7: loss=0.7264, epochs=10
    Client 6: loss=0.1421, epochs=10
    Client 1: loss=0.2443, epochs=10
    Client 3: loss=0.1306, epochs=10
    Client 0: loss=0.1236, epochs=10
    Client 5: loss=0.3890, epochs=10
    Client 4: loss=0.2021, epochs=10
  Round  12/50: Pooled Loss=0.3130, Pooled Mean=0.8079 (WT=0.8686 TC=0.7559 ET=0.7991) | C0 Mean=0.8362 | C1 Mean=0.7832 | C2 Mean=0.6906 | C3 Mean=0.7512 | C4 Mean=0.7940 | C5 Mean=0.4751 | C6 Mean=0.7901 | C7 Mean=0.4150 WorstC Mean=0.4150 [55.6s]
    Client 0: loss=0.1205, epochs=10
    Client 5: loss=0.3623, epochs=10
    Client 6: loss=0.1317, epochs=10
    Client 3: loss=0.1236, epochs=10
    Client 7: loss=0.6652, epochs=10
    Client 2: loss=0.1485, epochs=10
    Client 4: loss=0.1877, epochs=10
    Client 1: loss=0.2286, epochs=10
  Round  13/50: Pooled Loss=0.3096, Pooled Mean=0.8088 (WT=0.8641 TC=0.7652 ET=0.7972) | C0 Mean=0.8346 | C1 Mean=0.7908 | C2 Mean=0.6854 | C3 Mean=0.7637 | C4 Mean=0.8072 | C5 Mean=0.4725 | C6 Mean=0.8011 | C7 Mean=0.4328 WorstC Mean=0.4328 [86.9s]
    Client 7: loss=0.6551, epochs=10
    Client 2: loss=0.1339, epochs=10
    Client 4: loss=0.1804, epochs=10
    Client 6: loss=0.1350, epochs=10
    Client 1: loss=0.2163, epochs=10
    Client 3: loss=0.1174, epochs=10
    Client 0: loss=0.1125, epochs=10
    Client 5: loss=0.3523, epochs=10
  Round  14/50: Pooled Loss=0.3044, Pooled Mean=0.8105 (WT=0.8677 TC=0.7707 ET=0.7932) | C0 Mean=0.8452 | C1 Mean=0.7852 | C2 Mean=0.6854 | C3 Mean=0.7628 | C4 Mean=0.8110 | C5 Mean=0.4729 | C6 Mean=0.8110 | C7 Mean=0.4441 WorstC Mean=0.4441 [57.2s]
    Client 5: loss=0.3334, epochs=10
    Client 4: loss=0.1715, epochs=10
    Client 6: loss=0.1245, epochs=10
    Client 0: loss=0.1077, epochs=10
    Client 3: loss=0.1158, epochs=10
    Client 7: loss=0.6942, epochs=10
    Client 1: loss=0.2029, epochs=10
    Client 2: loss=0.1391, epochs=10
  Round  15/50: Pooled Loss=0.3087, Pooled Mean=0.8059 (WT=0.8689 TC=0.7692 ET=0.7794) | C0 Mean=0.8426 | C1 Mean=0.7870 | C2 Mean=0.7051 | C3 Mean=0.7566 | C4 Mean=0.8104 | C5 Mean=0.4803 | C6 Mean=0.8120 | C7 Mean=0.4702 WorstC Mean=0.4702 [55.8s]
    Client 7: loss=0.7279, epochs=10
    Client 2: loss=0.1276, epochs=10
    Client 3: loss=0.1099, epochs=10
    Client 0: loss=0.1061, epochs=10
    Client 6: loss=0.1234, epochs=10
    Client 5: loss=0.3162, epochs=10
    Client 4: loss=0.1647, epochs=10
    Client 1: loss=0.1964, epochs=10
  Round  16/50: Pooled Loss=0.3009, Pooled Mean=0.8136 (WT=0.8714 TC=0.7758 ET=0.7937) | C0 Mean=0.8525 | C1 Mean=0.7923 | C2 Mean=0.7161 | C3 Mean=0.7620 | C4 Mean=0.8174 | C5 Mean=0.4843 | C6 Mean=0.8137 | C7 Mean=0.4636 WorstC Mean=0.4636 [56.0s]
    Client 5: loss=0.3052, epochs=10
    Client 7: loss=0.6297, epochs=10
    Client 6: loss=0.1191, epochs=10
    Client 4: loss=0.1591, epochs=10
    Client 0: loss=0.1016, epochs=10
    Client 1: loss=0.1856, epochs=10
    Client 2: loss=0.1197, epochs=10
    Client 3: loss=0.1064, epochs=10
  Round  17/50: Pooled Loss=0.3035, Pooled Mean=0.8094 (WT=0.8718 TC=0.7731 ET=0.7833) | C0 Mean=0.8446 | C1 Mean=0.7875 | C2 Mean=0.7117 | C3 Mean=0.7578 | C4 Mean=0.8201 | C5 Mean=0.4882 | C6 Mean=0.8184 | C7 Mean=0.4738 WorstC Mean=0.4738 [56.0s]
    Client 3: loss=0.1035, epochs=10
    Client 1: loss=0.1834, epochs=10
    Client 0: loss=0.0994, epochs=10
    Client 2: loss=0.1152, epochs=10
    Client 4: loss=0.1530, epochs=10
    Client 5: loss=0.2986, epochs=10
    Client 6: loss=0.1216, epochs=10
    Client 7: loss=0.5932, epochs=10
  Round  18/50: Pooled Loss=0.3006, Pooled Mean=0.8119 (WT=0.8725 TC=0.7755 ET=0.7876) | C0 Mean=0.8458 | C1 Mean=0.7940 | C2 Mean=0.7095 | C3 Mean=0.7621 | C4 Mean=0.8192 | C5 Mean=0.4852 | C6 Mean=0.8081 | C7 Mean=0.4850 WorstC Mean=0.4850 [55.6s]
    Client 0: loss=0.0993, epochs=10
    Client 6: loss=0.1161, epochs=10
    Client 7: loss=0.5790, epochs=10
    Client 3: loss=0.1035, epochs=10
    Client 4: loss=0.1490, epochs=10
    Client 2: loss=0.1236, epochs=10
    Client 1: loss=0.1694, epochs=10
    Client 5: loss=0.2877, epochs=10
  Round  19/50: Pooled Loss=0.2966, Pooled Mean=0.8211 (WT=0.8729 TC=0.7783 ET=0.8122) | C0 Mean=0.8665 | C1 Mean=0.8068 | C2 Mean=0.6818 | C3 Mean=0.7537 | C4 Mean=0.8181 | C5 Mean=0.5156 | C6 Mean=0.8179 | C7 Mean=0.4835 WorstC Mean=0.4835 [55.6s]
    Client 5: loss=0.2792, epochs=10
    Client 1: loss=0.1634, epochs=10
    Client 6: loss=0.1128, epochs=10
    Client 3: loss=0.0997, epochs=10
    Client 7: loss=0.5680, epochs=10
    Client 4: loss=0.1433, epochs=10
    Client 0: loss=0.0970, epochs=10
    Client 2: loss=0.1125, epochs=10
  Round  20/50: Pooled Loss=0.2993, Pooled Mean=0.8145 (WT=0.8735 TC=0.7755 ET=0.7944) | C0 Mean=0.8424 | C1 Mean=0.8014 | C2 Mean=0.7255 | C3 Mean=0.7637 | C4 Mean=0.8259 | C5 Mean=0.4840 | C6 Mean=0.7928 | C7 Mean=0.5004 WorstC Mean=0.4840 [56.3s]
    Client 5: loss=0.2715, epochs=10
    Client 2: loss=0.1078, epochs=10
    Client 7: loss=0.6517, epochs=10
    Client 0: loss=0.0936, epochs=10
    Client 3: loss=0.0973, epochs=10
    Client 6: loss=0.1117, epochs=10
    Client 1: loss=0.1594, epochs=10
    Client 4: loss=0.1406, epochs=10
