==============================================
BraTS 2D Federated Learning
Job ID:       22517911
Node(s):      gpu-q-3
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedavg (mu=0.1)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 10
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Wed Feb 11 11:18:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:81:00.0 Off |                    0 |
| N/A   38C    P0             69W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDAVG (mu=0.0) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDAVG
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   10
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.2410, epochs=10
    Client 1: loss=1.1933, epochs=10
    Client 2: loss=1.2792, epochs=10
    Client 0: loss=1.2606, epochs=10
    Client 4: loss=1.2370, epochs=10
    Client 7: loss=1.4259, epochs=10
    Client 3: loss=1.0735, epochs=10
    Client 6: loss=1.3801, epochs=10
  Round   1/50: Pooled Loss=1.0257, Pooled Mean=0.4100 (WT=0.7765 TC=0.0000 ET=0.4535) | C0 Mean=0.4269 | C1 Mean=0.2057 | C2 Mean=0.2431 | C3 Mean=0.3244 | C4 Mean=0.2738 | C5 Mean=0.1812 | C6 Mean=0.4639 | C7 Mean=0.0615 WorstC Mean=0.0615 [55.9s]
    Client 1: loss=0.9059, epochs=10
    Client 2: loss=0.8146, epochs=10
    Client 5: loss=0.9424, epochs=10
    Client 6: loss=0.8301, epochs=10
    Client 4: loss=0.8672, epochs=10
    Client 0: loss=0.7851, epochs=10
    Client 3: loss=0.6206, epochs=10
    Client 7: loss=1.0561, epochs=10
  Round   2/50: Pooled Loss=0.6500, Pooled Mean=0.6384 (WT=0.8259 TC=0.6165 ET=0.4728) | C0 Mean=0.7008 | C1 Mean=0.3403 | C2 Mean=0.3367 | C3 Mean=0.6339 | C4 Mean=0.4466 | C5 Mean=0.3106 | C6 Mean=0.6465 | C7 Mean=0.1124 WorstC Mean=0.1124 [53.6s]
    Client 0: loss=0.4614, epochs=10
    Client 4: loss=0.6131, epochs=10
    Client 1: loss=0.6648, epochs=10
    Client 5: loss=0.7900, epochs=10
    Client 2: loss=0.4964, epochs=10
    Client 7: loss=0.9277, epochs=10
    Client 3: loss=0.3789, epochs=10
    Client 6: loss=0.4967, epochs=10
  Round   3/50: Pooled Loss=0.4848, Pooled Mean=0.6997 (WT=0.8212 TC=0.6556 ET=0.6224) | C0 Mean=0.6743 | C1 Mean=0.4748 | C2 Mean=0.5209 | C3 Mean=0.7223 | C4 Mean=0.4985 | C5 Mean=0.3342 | C6 Mean=0.7475 | C7 Mean=0.1418 WorstC Mean=0.1418 [54.1s]
    Client 3: loss=0.2772, epochs=10
    Client 1: loss=0.5215, epochs=10
    Client 2: loss=0.3356, epochs=10
    Client 6: loss=0.3459, epochs=10
    Client 7: loss=0.8574, epochs=10
    Client 5: loss=0.6846, epochs=10
    Client 0: loss=0.3135, epochs=10
    Client 4: loss=0.4575, epochs=10
